bathrooms;bedrooms;accommodates;cleaning_fee;entire_home/apt;private_room;beds;guests_included;monthly_price;zipcode;security_deposit;longitude;latitude;host_since_in_days;weekly_price;availability_90;availability_60;host_total_listings_count;availability_365;availability_30;price
1.0;1.0;4.0;25.0;1.0;0.0;2.0;2.0;1100.0;28012.000000000004;100.0;-3.701293240610774;40.410555354671615;1066.0;346.0;30.000000000000004;14.0;2.0;304.0;6.0;45.0
1.0;1.0;1.0;20.0;0.0;1.0;1.0;1.0;1055.2;28043.0;148.0;-3.631162785844418;40.46424165797921;1703.0000000000002;236.00000000000003;0.0;0.0;1.0;0.0;0.0;20.0
1.0;1.0;3.0;24.0;1.0;0.0;1.0;2.0;936.0;28005.0;130.0;-3.715778795417614;40.412028475410665;319.0;346.0;46.00000000000001;25.0;2.0;113.0;10.0;68.0
1.0;0.0;3.0;20.0;1.0;0.0;2.0;1.0;1170.0;28012.000000000004;170.0;-3.705272386381462;40.41707378430285;1031.0;443.4;66.0;36.0;2.0;341.0;13.0;82.00000000000001
1.0;1.0;2.0;33.2;0.0;1.0;1.0;1.0;1444.0;28009.0;138.0;-3.675902707288031;40.41577410492245;625.0;394.2000000000001;68.0;38.0;1.0;68.0;8.0;29.000000000000004
1.0;0.0;2.0;29.599999999999994;1.0;0.0;1.0;1.0;1258.4;28013.0;146.0;-3.707302253516138;40.41730948002312;132.0;285.2;21.0;9.0;6.000000000000001;99.0;1.0;39.0
1.0;1.0;2.0;26.4;0.0;1.0;2.0;1.0;1341.0;28010.0;160.0;-3.696642714955018;40.43604391719478;65.0;290.40000000000003;16.0;16.0;3.0000000000000004;275.0;16.0;25.0
1.0;1.0;1.0;26.000000000000004;0.0;1.0;1.0;1.0;1450.0;28053.0;130.0;-3.64659330057953;40.39118401606798;204.0;410.4;38.0;20.0;1.0;38.0;8.0;12.0
1.0;1.0;4.0;37.2;1.0;0.0;4.0;1.0;2870.0;28014.0;280.0;-3.6942149117334826;40.412143019757856;239.0;341.0;46.00000000000001;26.0;39.0;320.0;8.0;89.00000000000001
1.0;1.0;1.0;27.000000000000004;0.0;1.0;1.0;1.0;1330.2000000000005;28012.000000000004;158.0;-3.704240248370645;40.41126542413903;1091.0;415.8;71.0;45.0;3.0000000000000004;71.0;20.0;35.0
1.0;1.0;3.0;20.0;1.0;0.0;2.0;2.0;1974.0;28012.000000000004;124.0;-3.703196282624922;40.41048622810066;1657.0;264.8;10.0;5.0;3.0000000000000004;261.0;1.0;52.0
1.0;1.0;1.0;10.0;0.0;1.0;1.0;1.0;1318.0;28004.000000000004;220.0;-3.706111751599317;40.42231852103792;666.0;472.00000000000006;81.0;51.0;1.0;81.0;21.0;25.0
