Host Response Rate,Host Listings Count,Host Total Listings Count,Zipcode,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Square Feet,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,Host Since in Days,First Review in Days,Entire home/apt,Private room,Shared room
94.65098420938784,1.0,1.0,28015.0,40.432030984113645,-3.714930155632212,2.0,1.0,1.0,3.0,538.2,39.0,161.00000000000003,429.0,138.0,5.0,1.0,25.0,1.0,1125.0,0.0,0.0,0.0,124.99999999999999,17.0,96.00000000000001,10.0,9.0,10.0,10.0,10.0,9.0,1.0,1.3,709.0,173.0,0.0,1.0,0.0
100.0,1.0,1.0,28012.000000000004,40.409745729008606,-3.6983476500017662,4.0,1.0,1.0,2.0,276.8,57.00000000000001,517.0,1200.0,150.0,40.0,2.0,15.0,20.0,210.0,2.0,32.0,62.0,337.0,9.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.54,540.0,477.0,1.0,0.0,0.0
100.0,4.0,4.0,28036.0,40.464062802759344,-3.6838231101031256,2.0,1.0,1.0,1.0,422.20000000000005,80.00000000000001,389.0,1133.8,183.48397863818425,24.0,1.0,0.0,2.0,1125.0,16.0,41.0,71.0,346.0,18.0,89.0,9.0,9.0,10.0,9.0,9.0,9.0,4.0,1.42,389.0,322.0,1.0,0.0,0.0
81.0,1.0,1.0,28043.0,40.46235376462332,-3.658598578484576,4.0,1.0,2.0,3.0,299.2000000000001,67.00000000000001,343.0,1190.0,189.99999999999997,25.0,4.0,20.0,2.0,1125.0,6.0,23.0,30.000000000000004,283.0,25.0,95.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,1.41,623.0,477.99999999999994,1.0,0.0,0.0
100.0,1.0,1.0,28045.0,40.39832278073945,-3.6987017918198815,2.0,1.0,1.0,1.0,365.20000000000005,22.0,163.8,429.0,183.48397863818425,38.6,1.0,0.0,1.0,1125.0,0.0,0.0,0.0,91.0,0.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,2.072,1159.0,463.5999999999999,0.0,1.0,0.0
100.0,5.0,5.0,28014.0,40.41418738867367,-3.6951760141610186,2.0,1.0,0.0,1.0,481.6,65.00000000000001,351.0,1607.3999999999999,183.48397863818425,17.8,1.0,0.0,1.0,1125.0,1.0,3.0,6.0,216.0,205.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,5.000000000000001,11.87,851.9999999999999,512.0,1.0,0.0,0.0
94.65098420938784,1.0,1.0,28005.0,40.4125937203652,-3.716968879393989,2.0,1.0,1.0,1.0,215.99999999999997,35.0,204.99999999999997,429.0,100.0,20.0,1.0,10.0,1.0,1125.0,29.0,59.0,89.0,364.0,2.0,80.0,10.0,6.0,10.0,10.0,8.0,6.0,1.0,0.19,1075.0,11.0,0.0,1.0,0.0
94.65098420938784,1.0,1.0,28027.0,40.4430770609677,-3.645262219880985,2.0,1.0,1.0,1.0,531.8000000000001,60.0,600.0,1000.0,249.99999999999997,20.0,1.0,15.0,2.0,7.0,30.0,60.0,90.0,365.0,1.0,91.75441354292623,9.8,10.0,10.0,8.0,9.550460941290636,9.2,1.0,0.04,1148.0,0.0,1.0,0.0,0.0
100.0,4.0,4.0,28037.0,40.44012536879486,-3.624866678669721,3.0,1.0,0.0,1.0,699.5999999999999,43.0,356.0,860.0,300.0,40.0,2.0,10.0,5.0,1125.0,4.0,4.0,15.000000000000002,106.00000000000001,5.0,92.0,10.0,10.0,10.0,10.0,9.0,10.0,2.0,0.37,511.0,241.0,1.0,0.0,0.0
94.65098420938784,1.0,1.0,28012.000000000004,40.411769358122015,-3.700519998622112,2.0,1.5,1.0,1.0,392.20000000000005,45.0,228.0,443.99999999999994,183.48397863818425,36.0,1.0,0.0,1.0,1125.0,0.0,0.0,0.0,0.0,1.0,100.0,8.0,10.0,10.0,10.0,10.0,10.0,1.0,0.06,920.9999999999999,0.0,0.0,1.0,0.0
