Host Response Rate;Host Listings Count;Host Total Listings Count;Zipcode;Latitude;Longitude;Accommodates;Bathrooms;Bedrooms;Beds;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Calculated host listings count;Reviews per Month;Host Since in Days;First Review in Days;Entire home/apt;Private room;Shared room;Square Meters
100.0;6.0;6.0;28012.0;40.41242019704001;-3.707873449904831;12;2.0;5.0;8.0;;300.0;;;;100.0;7;20;3;1125;8;23;45;135;24;93.0;9.0;9.0;9.0;9.0;10.0;9.0;6.0;0.71;1156.0;881.0;1;0;0;
100.0;1.0;1.0;28008.0;40.42460374210358;-3.728757814386852;5;1.0;2.0;3.0;807.0;80.0;350.0;1300.0;;37.0;1;0;3;1125;0;0;0;78;30;80.0;8.0;8.0;9.0;9.0;9.0;8.0;1.0;0.71;1767.0;1032.0;1;0;0;74.97272099999999
100.0;2.0;2.0;28053.0;40.3967209114158;-3.667902080596261;2;1.0;1.0;2.0;;26.0;;;;;1;0;1;1125;25;54;80;80;45;95.0;10.0;10.0;10.0;9.0;9.0;9.0;2.0;6.19;265.0;206.0;0;0;1;
100.0;2.0;2.0;;40.42588427536178;-3.685944268128827;6;3.0;3.0;4.0;;340.0;;;300.0;70.0;1;0;2;1125;5;12;23;278;3;100.0;10.0;9.0;10.0;10.0;10.0;10.0;2.0;1.84;121.0;42.0;1;0;0;
;1.0;1.0;28004.0;40.42470276522944;-3.6950669900973874;3;1.0;1.0;1.0;;70.0;500.0;2000.0;250.0;20.0;1;20;2;5;0;0;0;267;27;95.0;10.0;10.0;10.0;10.0;10.0;9.0;1.0;0.51;1589.0;1246.0;0;1;0;
100.0;11.0;11.0;28012.0;40.41179965542782;-3.7039433023426462;5;1.0;1.0;3.0;;75.0;;;200.0;35.0;2;15;3;1125;4;23;32;303;34;95.0;10.0;9.0;10.0;9.0;9.0;9.0;11.0;2.09;2157.0;445.0;1;0;0;
100.0;30.0;30.0;28008.0;40.42383861600772;-3.713574712723717;10;1.0;1.0;10.0;;11.0;;;;;1;15;1;1125;30;60;90;365;0;;;;;;;;29.0;;199.0;;0;0;1;
30.0;1.0;1.0;28015.0;40.42599803041909;-3.710114197470826;4;1.0;2.0;3.0;;69.0;395.0;1290.0;150.0;;1;0;3;1125;3;13;39;308;28;82.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;0.69;1787.0;1174.0;1;0;0;
100.0;5.0;5.0;28012.0;40.416614866068045;-3.707311682074666;10;2.0;4.0;7.0;;175.0;;;200.0;40.0;6;15;1;1125;0;1;3;193;22;99.0;10.0;10.0;10.0;10.0;10.0;10.0;3.0;5.55;291.0;117.0;1;0;0;
98.0;10.0;10.0;28004.0;40.42163553782631;-3.705672642816785;2;1.0;1.0;1.0;;26.0;;;;7.0;2;15;1;1125;5;17;28;295;93;87.0;9.0;9.0;9.0;9.0;10.0;9.0;10.0;4.49;1081.0;615.0;0;1;0;
100.0;8.0;8.0;28005.0;40.41029305035262;-3.7162352368042058;4;1.0;2.0;3.0;;60.0;500.0;1800.0;100.0;30.0;2;15;2;1125;1;1;1;258;27;84.0;8.0;9.0;9.0;9.0;9.0;8.0;8.0;0.81;1671.0;733.0;1;0;0;
98.0;4.0;4.0;28004.0;40.42217435228461;-3.696687446088593;6;1.0;2.0;3.0;;60.0;;;;36.0;2;10;1;1125;5;35;65;340;58;88.0;9.0;9.0;9.0;9.0;10.0;9.0;3.0;4.28;520.0;396.0;1;0;0;
100.0;1.0;1.0;28014.0;40.41341307144924;-3.6970333368693615;5;2.0;2.0;3.0;;90.0;;;150.0;30.0;4;10;2;1125;14;40;70;161;18;76.0;7.0;7.0;9.0;9.0;9.0;8.0;1.0;3.21;183.0;164.0;1;0;0;
100.0;3.0;3.0;28005.0;40.41592665444814;-3.710409251411075;4;1.0;1.0;2.0;;110.0;;;200.0;;1;0;3;30;19;34;64;339;0;;;;;;;;3.0;;431.0;;1;0;0;
100.0;1.0;1.0;28037.0;40.43497651599635;-3.618248736338947;2;1.0;1.0;2.0;;25.0;;;;;1;0;2;14;4;31;54;54;12;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;1.4;292.0;139.0;0;1;0;
99.0;207.0;207.0;28004.0;40.42338984369337;-3.6967550870049912;4;1.0;2.0;3.0;;85.0;;;;30.0;2;15;2;1125;0;0;0;0;4;85.0;10.0;10.0;8.0;8.0;10.0;9.0;67.0;0.44;452.0;111.0;1;0;0;
81.0;4.0;4.0;28015.0;40.42679643486993;-3.71035604919456;3;1.0;1.0;1.0;;54.0;345.0;1200.0;90.0;20.0;2;12;3;60;2;13;19;281;148;94.0;9.0;9.0;10.0;10.0;10.0;9.0;1.0;2.46;1818.0;1779.0;1;0;0;
50.0;38.0;38.0;28013.0;40.4180595393637;-3.707183484200592;1;5.0;1.0;1.0;;20.0;273.0;1092.0;200.0;;1;0;4;1125;0;0;10;10;0;;;;;;;;38.0;;732.0;;0;1;0;
94.0;10.0;10.0;28027.0;40.43278708131017;-3.6529773613326815;4;1.0;1.0;1.0;;45.0;;;;;2;10;2;1125;23;48;78;353;0;;;;;;;;7.0;;178.0;;1;0;0;
90.0;2.0;2.0;28053.0;40.39460905678723;-3.671855273139693;2;1.5;1.0;1.0;;22.0;;600.0;;12.0;1;16;2;1125;0;24;31;121;18;95.0;9.0;9.0;10.0;9.0;8.0;9.0;2.0;0.91;1449.0;303.0;0;1;0;
100.0;1.0;1.0;28004.0;40.42216174613823;-3.7037726617857696;2;1.0;1.0;2.0;;75.0;;;200.0;30.0;1;0;4;1125;2;9;39;39;14;90.0;10.0;9.0;10.0;10.0;10.0;9.0;1.0;0.68;1524.0;449.0;1;0;0;
100.0;1.0;1.0;28038.0;40.39486475895264;-3.661160712709082;2;1.0;1.0;1.0;;16.0;;;;;1;8;1;1125;10;40;62;334;28;91.0;10.0;9.0;10.0;10.0;9.0;9.0;1.0;5.42;725.0;145.0;0;1;0;
88.0;1.0;1.0;28013.0;40.41593435772422;-3.70437027896946;2;1.0;1.0;1.0;;30.0;;;;;1;15;1;1125;7;37;67;333;2;90.0;8.0;10.0;10.0;10.0;10.0;9.0;1.0;0.38;1387.0;115.0;0;1;0;
100.0;1.0;1.0;28028.0;40.432797058402016;-3.66399175733788;2;1.0;1.0;2.0;;60.0;;;;;1;0;1;1125;5;7;37;37;1;100.0;8.0;10.0;10.0;10.0;8.0;10.0;1.0;0.06;470.0;0.0;1;0;0;
;1.0;1.0;28027.0;40.44250922519355;-3.655028811949959;1;1.0;1.0;1.0;;39.0;;;;5.0;1;0;1;1125;20;50;80;355;1;80.0;10.0;8.0;10.0;10.0;8.0;8.0;1.0;0.1;1725.0;0.0;0;1;0;
100.0;2.0;2.0;28004.0;40.42686506489755;-3.703198099161136;2;1.0;1.0;1.0;;40.0;;;;10.0;1;0;2;180;7;24;49;324;145;95.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;2.44;2051.0;1772.0;0;1;0;
;1.0;1.0;28004.0;40.426793920780106;-3.699795857927988;4;1.0;2.0;2.0;;90.0;700.0;;;30.0;2;35;2;1125;0;0;0;0;9;91.0;9.0;8.0;9.0;9.0;9.0;8.0;1.0;0.27;1070.0;881.0;1;0;0;
;1.0;1.0;28043.0;40.44820227961026;-3.659170853860673;1;;1.0;;;40.0;;;;;1;0;1;1125;30;60;90;365;0;;;;;;;;1.0;;1612.0;;0;1;0;
100.0;2.0;2.0;28003.0;40.446057168967606;-3.712162496060296;4;2.0;2.0;2.0;;80.0;;;250.0;40.0;1;0;5;1125;0;0;4;14;3;100.0;10.0;10.0;10.0;10.0;8.0;10.0;2.0;0.16;2561.0;20.0;1;0;0;
50.0;38.0;38.0;28013.0;40.418670188817984;-3.701075408203332;2;5.0;1.0;1.0;;33.0;371.0;1484.0;200.0;;1;0;2;1125;0;0;2;2;1;80.0;10.0;8.0;6.0;10.0;10.0;8.0;38.0;0.11;732.0;0.0;0;1;0;
;1.0;1.0;28007.0;40.40437969057045;-3.677590888228343;1;1.0;1.0;1.0;;10.0;;;95.0;5.0;1;0;2;3;0;0;0;0;0;;;;;;;;1.0;;276.0;;0;1;0;
100.0;9.0;9.0;28013.0;40.418685648046754;-3.709315424175693;2;2.0;1.0;1.0;;17.0;200.0;550.0;90.0;;1;8;3;1125;0;0;0;0;24;81.0;8.0;9.0;9.0;9.0;10.0;9.0;9.0;0.71;1934.0;994.0;0;1;0;
100.0;1.0;1.0;28010.0;40.43451104518034;-3.7017425797284;2;1.0;1.0;1.0;;40.0;;;;;1;10;2;365;2;2;2;2;11;78.0;9.0;7.0;10.0;9.0;10.0;8.0;1.0;0.42;999.0;757.0;1;0;0;
86.0;4.0;4.0;28004.0;40.4233893816095;-3.694754634883886;2;2.0;1.0;1.0;0.0;50.0;400.0;1300.0;160.0;;1;10;1;730;0;0;2;277;12;83.0;9.0;8.0;9.0;10.0;9.0;8.0;4.0;0.29;2082.0;925.0;0;1;0;0.0
100.0;9.0;9.0;28004.0;40.42691225398136;-3.705488073950456;6;1.0;2.0;3.0;;90.0;;;100.0;40.0;4;15;3;1125;7;24;49;314;62;90.0;9.0;9.0;10.0;10.0;10.0;9.0;8.0;4.0;2285.0;458.0;1;0;0;
100.0;3.0;3.0;28012.0;40.41021763996447;-3.7070835732968033;4;1.0;1.0;2.0;;45.0;;;100.0;30.0;1;0;1;1125;5;14;38;285;0;;;;;;;;3.0;;586.0;;1;0;0;
100.0;1.0;1.0;;40.41461006670473;-3.708480253182711;2;1.0;;1.0;;45.0;;;120.0;25.0;1;0;3;45;3;6;18;279;188;89.0;9.0;9.0;10.0;10.0;10.0;9.0;1.0;3.36;1704.0;1659.0;1;0;0;
;3.0;3.0;28015.0;40.42807575128499;-3.7133943547040302;1;1.5;1.0;1.0;;30.0;124.0;380.0;;;1;0;2;1125;0;6;36;311;2;100.0;10.0;10.0;9.0;9.0;4.0;6.0;3.0;0.16;488.0;56.0;0;1;0;
100.0;6.0;6.0;;40.412438951102544;-3.689124251800069;6;2.0;2.0;3.0;;100.0;;;400.0;40.0;2;20;3;90;18;45;75;198;2;90.0;10.0;10.0;10.0;10.0;9.0;9.0;4.0;2.0;1081.0;19.0;1;0;0;
25.0;1.0;1.0;28019.0;40.390960867731536;-3.7227990607685073;1;1.0;1.0;1.0;;17.0;115.0;325.0;125.0;15.0;1;0;15;1125;30;60;90;365;0;;;;;;;;1.0;;1104.0;;0;1;0;
100.0;5.0;5.0;28019.0;40.396449298228674;-3.712268023718203;1;1.0;1.0;1.0;;16.0;;;;;1;0;1;1125;0;1;1;98;4;100.0;10.0;10.0;10.0;9.0;8.0;9.0;2.0;1.56;1027.0;69.0;0;1;0;
100.0;4.0;4.0;28002.0;40.44659602585556;-3.67535154805493;4;1.0;1.0;2.0;;50.0;300.0;1000.0;;20.0;2;10;2;1125;1;5;35;310;14;96.0;10.0;9.0;10.0;10.0;10.0;9.0;1.0;0.53;853.0;747.0;1;0;0;
100.0;114.0;114.0;28012.0;40.413251794522985;-3.705135161092841;2;2.0;1.0;1.0;;18.0;;;;15.0;1;5;10;1125;0;0;6;281;5;80.0;9.0;7.0;9.0;9.0;10.0;9.0;97.0;0.23;1066.0;46.0;0;1;0;
100.0;114.0;114.0;28012.0;40.411639423742045;-3.7087441590487153;2;4.0;1.0;1.0;;25.0;;;;15.0;1;5;10;1125;0;6;36;92;0;;;;;;;;97.0;;1066.0;;0;1;0;
47.0;2.0;2.0;28008.0;40.42198009497514;-3.721198262118498;2;1.0;0.0;1.0;;150.0;;;150.0;20.0;1;0;3;1125;10;23;31;193;6;100.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;0.14;1696.0;787.0;1;0;0;
100.0;1.0;1.0;28012.0;40.4106820393295;-3.698731885307921;3;1.0;1.0;1.0;;80.0;550.0;;150.0;20.0;1;45;1;1125;28;58;88;363;17;98.0;9.0;9.0;10.0;10.0;10.0;9.0;1.0;0.46;1159.0;952.0;1;0;0;
100.0;1.0;1.0;28029.0;40.47795481921265;-3.7091689183066623;1;1.0;1.0;1.0;;22.0;;;;;1;0;2;1125;18;36;66;67;16;87.0;9.0;9.0;9.0;10.0;8.0;9.0;1.0;0.98;738.0;322.0;0;1;0;
100.0;2.0;2.0;28005.0;40.41048113752012;-3.708057240041182;3;1.5;1.0;1.0;0.0;84.0;;;150.0;20.0;2;20;1;60;9;11;31;304;105;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;2.59;1509.0;1203.0;1;0;0;0.0
100.0;2.0;2.0;28005.0;40.41157908267408;-3.712701757031817;6;1.0;2.0;3.0;;59.0;500.0;1799.0;100.0;19.0;2;19;2;1125;13;30;50;325;34;89.0;9.0;9.0;9.0;9.0;10.0;9.0;2.0;2.07;1900.0;478.0;1;0;0;
100.0;3.0;3.0;28005.0;40.41301189820535;-3.721356654719486;6;1.0;2.0;3.0;;70.0;430.0;1540.0;100.0;;2;12;3;1125;11;17;36;299;51;93.0;9.0;9.0;10.0;10.0;9.0;9.0;3.0;2.77;1347.0;533.0;1;0;0;
100.0;3.0;3.0;;40.42834154253946;-3.7144312120868768;1;1.0;1.0;1.0;;28.0;190.0;500.0;;;1;15;1;1125;0;0;0;243;13;82.0;8.0;8.0;9.0;9.0;10.0;8.0;3.0;0.8;592.0;387.0;0;1;0;
94.0;6.0;6.0;28004.0;40.420200364660026;-3.6974290368183977;4;1.0;1.0;2.0;;66.0;;;100.0;30.0;2;12;2;1125;14;34;56;331;1;60.0;6.0;8.0;8.0;8.0;10.0;6.0;5.0;0.09;507.0;0.0;1;0;0;
100.0;16.0;16.0;28013.0;40.41618750356087;-3.711094893531684;4;1.0;1.0;2.0;;99.0;;;100.0;30.0;2;0;1;365;12;32;51;310;0;;;;;;;;16.0;;1012.0;;1;0;0;
100.0;3.0;3.0;28036.0;40.469010393728055;-3.681674626163088;6;1.0;2.0;3.0;;65.0;;;100.0;30.0;2;10;2;1125;12;40;70;70;7;91.0;10.0;10.0;10.0;10.0;8.0;10.0;3.0;1.3;640.0;145.0;1;0;0;
100.0;1.0;1.0;28006.0;40.43233975038661;-3.682876899471208;4;2.0;3.0;2.0;;140.0;;;;40.0;1;0;2;1125;5;17;17;238;13;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.8;1356.0;390.0;1;0;0;
100.0;3.0;3.0;28027.0;40.43439539020192;-3.658704429928916;11;2.0;2.0;4.0;;130.0;;;;40.0;1;0;2;1125;17;45;71;218;3;100.0;10.0;9.0;9.0;10.0;8.0;9.0;3.0;1.84;365.0;29.0;1;0;0;
100.0;1.0;1.0;28012.0;40.40904032044737;-3.700922543906586;5;2.0;2.0;3.0;;75.0;480.0;1400.0;150.0;39.0;4;18;2;30;3;7;16;261;73;93.0;9.0;10.0;10.0;10.0;9.0;10.0;1.0;5.08;443.0;422.0;1;0;0;
100.0;2.0;2.0;28038.0;40.39757478687651;-3.669620572111372;4;1.0;1.0;3.0;;65.0;;;100.0;30.0;2;10;3;1125;9;37;67;305;22;97.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;3.49;225.0;180.0;1;0;0;
100.0;14.0;14.0;28013.0;40.42161728338164;-3.7053102297055367;4;1.0;1.0;1.0;;;;;;;2;15;2;1125;6;34;64;160;4;80.0;9.0;9.0;7.0;6.0;8.0;9.0;8.0;0.29;1698.0;161.0;1;0;0;
;1.0;1.0;28005.0;40.40849420532692;-3.705037687332841;4;1.0;1.0;2.0;;59.0;400.0;1350.0;;20.0;2;10;3;1125;0;0;5;92;4;90.0;9.0;9.0;9.0;10.0;9.0;8.0;1.0;0.21;1055.0;299.0;1;0;0;
100.0;1.0;1.0;28024.0;40.3834978467031;-3.7791487586669854;2;1.0;1.0;2.0;;20.0;;;;15.0;1;5;1;1125;17;44;71;136;0;;;;;;;;1.0;;1053.0;;0;1;0;
;1.0;1.0;28045.0;40.401364168768566;-3.697147835688278;2;1.0;1.0;1.0;;30.0;270.0;;;20.0;1;30;1;10;30;60;90;365;0;;;;;;;;1.0;;1674.0;;0;1;0;
;1.0;1.0;;40.41549913169228;-3.704364859479525;2;1.0;1.0;1.0;;150.0;;;100.0;30.0;1;0;15;1125;0;0;0;0;0;;;;;;;;1.0;;306.0;;0;1;0;
100.0;7.0;7.0;28012.0;40.41477605198554;-3.700215883428985;6;1.0;0.0;3.0;;65.0;;;;;2;10;1;1125;1;11;20;283;53;91.0;9.0;9.0;10.0;10.0;10.0;9.0;7.0;6.71;571.0;221.0;1;0;0;
100.0;2.0;2.0;28028.0;40.43315400783854;-3.671993104379279;5;2.0;3.0;5.0;;130.0;;;100.0;15.0;5;20;1;1125;14;30;53;142;12;95.0;10.0;10.0;10.0;10.0;9.0;10.0;2.0;3.56;135.0;96.0;1;0;0;
;2.0;2.0;28012.0;40.40743711289297;-3.7002342209344015;1;1.5;1.0;1.0;;25.0;230.0;675.0;;;1;0;1;1125;0;0;0;250;3;93.0;10.0;9.0;10.0;9.0;10.0;10.0;2.0;0.16;775.0;25.0;0;1;0;
90.0;2.0;2.0;28025.0;40.38448925180085;-3.7436659872370392;1;1.0;1.0;1.0;;19.0;;;;;1;0;1;1125;7;37;67;342;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.75;1157.0;0.0;0;1;0;
100.0;1.0;1.0;28019.0;40.39398630711491;-3.708228678937037;2;1.0;1.0;2.0;;17.0;;;;;1;5;1;1125;10;24;25;26;20;93.0;10.0;10.0;10.0;10.0;9.0;9.0;1.0;5.26;410.0;111.0;0;1;0;
97.0;2.0;2.0;28012.0;40.40774572649151;-3.696920434567917;3;1.0;1.0;1.0;;60.0;;;;20.0;2;10;3;7;1;11;31;63;9;100.0;10.0;10.0;10.0;10.0;9.0;10.0;2.0;4.29;815.0;50.0;1;0;0;
100.0;5.0;5.0;28004.0;40.42287574337061;-3.6991700928497546;4;1.0;1.0;2.0;;80.0;;;130.0;30.0;1;30;2;1125;19;49;69;125;1;100.0;10.0;10.0;8.0;8.0;10.0;8.0;5.0;0.19;265.0;0.0;1;0;0;
100.0;1.0;1.0;28014.0;40.41079580231951;-3.698871084839813;1;1.0;1.0;1.0;;20.0;;;;;1;0;4;15;11;35;65;65;4;87.0;7.0;8.0;10.0;7.0;9.0;10.0;1.0;1.09;319.0;104.0;0;1;0;
100.0;1.0;1.0;28005.0;40.40323672041305;-3.703547091754132;1;1.0;1.0;1.0;;23.0;;;;;1;0;1;1125;22;52;82;172;7;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;1.18;954.0;165.0;0;1;0;
100.0;1.0;1.0;28002.0;40.44474194020494;-3.6831045964732825;2;1.0;0.0;1.0;;55.0;;;200.0;20.0;1;0;3;1125;5;34;64;339;7;100.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;0.63;394.0;283.0;1;0;0;
100.0;4.0;4.0;;40.42451891750951;-3.704195845582024;3;1.0;1.0;2.0;;90.0;;;250.0;40.0;2;40;3;1125;8;33;63;64;161;98.0;10.0;10.0;10.0;10.0;10.0;10.0;4.0;3.29;1544.0;1463.0;1;0;0;
99.0;15.0;15.0;28008.0;40.431026694516326;-3.72458616804393;4;1.0;1.0;1.0;75.0;55.0;400.0;1100.0;150.0;30.0;1;12;2;730;1;31;59;334;3;87.0;9.0;7.0;9.0;9.0;10.0;9.0;9.0;0.13;2607.0;506.0;1;0;0;6.967725
100.0;2.0;2.0;28013.0;40.41960667984;-3.709645406088199;2;1.0;1.0;1.0;;38.0;200.0;490.0;150.0;40.0;1;0;3;7;0;0;3;93;9;95.0;9.0;9.0;10.0;10.0;10.0;9.0;2.0;0.16;1790.0;1576.0;0;1;0;
100.0;32.0;32.0;28008.0;40.42091184787337;-3.717202702092874;8;3.0;5.0;8.0;;25.0;150.0;590.0;90.0;20.0;1;23;4;99;22;52;82;357;1;80.0;10.0;8.0;10.0;10.0;10.0;10.0;25.0;0.11;1886.0;0.0;0;1;0;
100.0;10.0;10.0;28001.0;40.42564834382334;-3.683479991516464;7;2.0;3.0;4.0;;160.0;;5000.0;200.0;30.0;2;10;3;1125;13;31;44;319;0;;;;;;;;8.0;;1643.0;;1;0;0;
100.0;3.0;3.0;28015.0;40.424548064020776;-3.711575443782402;1;1.0;1.0;1.0;;23.0;;;;;1;0;1;1125;0;0;0;8;0;;;;;;;;2.0;;505.0;;0;0;1;
100.0;9.0;9.0;28004.0;40.42226721119022;-3.6972682582068574;2;1.0;1.0;1.0;;45.0;;;200.0;25.0;1;0;1;1125;2;7;20;256;129;95.0;10.0;10.0;10.0;10.0;10.0;10.0;9.0;4.51;2073.0;848.0;0;1;0;
100.0;10.0;10.0;28004.0;40.42868363811039;-3.6943590902067567;1;6.0;1.0;1.0;;45.0;300.0;1150.0;85.0;;1;45;1;1125;0;0;0;97;0;;;;;;;;10.0;;1184.0;;0;1;0;
;1.0;1.0;28025.0;40.38486284660859;-3.745784326456366;5;1.0;3.0;3.0;;60.0;;;100.0;;1;0;1;1125;0;0;0;219;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.1;618.0;0.0;1;0;0;
100.0;4.0;4.0;28045.0;40.39876838520502;-3.698940315813913;4;1.0;1.0;2.0;;47.0;;;100.0;25.0;2;15;2;30;5;31;57;144;8;83.0;10.0;10.0;10.0;10.0;10.0;9.0;4.0;2.55;346.0;87.0;1;0;0;
75.0;2.0;2.0;28047.0;40.393055773562665;-3.757744389965032;1;1.5;1.0;1.0;;17.0;107.0;400.0;;;1;0;3;1125;30;60;90;365;39;96.0;10.0;10.0;10.0;10.0;9.0;10.0;2.0;1.4;2089.0;553.0;0;1;0;
100.0;1.0;1.0;28003.0;40.44088359893891;-3.69436920232631;2;1.0;0.0;1.0;;60.0;360.0;1250.0;100.0;30.0;1;0;2;1125;1;5;15;275;40;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;1.58;777.0;753.0;1;0;0;
100.0;24.0;24.0;28014.0;40.41148268831372;-3.6955461851330456;4;1.0;1.0;2.0;;70.0;;;100.0;25.0;2;15;1;1125;1;5;22;112;63;97.0;10.0;10.0;10.0;10.0;10.0;10.0;23.0;4.05;1735.0;382.0;1;0;0;
100.0;1.0;1.0;28004.0;40.42591819197618;-3.7075569091625566;2;1.0;1.0;2.0;;55.0;274.0;786.0;;;1;30;1;1125;0;0;8;98;3;87.0;9.0;7.0;10.0;10.0;10.0;10.0;1.0;0.18;514.0;406.0;1;0;0;
94.0;51.0;51.0;28012.0;40.40670749496131;-3.6977663025271057;4;1.0;1.0;1.0;55.0;83.0;475.0;1728.0;200.0;33.0;2;11;4;365;14;40;62;337;5;76.0;6.0;6.0;7.0;8.0;8.0;7.0;51.0;0.11;1971.0;1064.0;1;0;0;5.109665
0.0;4.0;4.0;28013.0;40.41998944852878;-3.71343529906936;6;2.0;2.0;2.0;;143.0;;;200.0;18.0;4;0;3;1125;10;32;45;306;6;84.0;8.0;9.0;8.0;9.0;10.0;8.0;4.0;0.14;1300.0;784.0;1;0;0;
100.0;3.0;3.0;28004.0;40.42269716482328;-3.699008418224538;1;1.0;1.0;1.0;;35.0;;;;10.0;1;0;1;10;11;39;62;337;9;100.0;10.0;10.0;10.0;10.0;10.0;10.0;3.0;2.76;207.0;95.0;0;1;0;
100.0;1.0;1.0;28010.0;40.430697646208834;-3.702916616885496;3;1.0;1.0;2.0;;78.0;480.0;1354.0;;;1;30;4;1125;26;56;86;361;4;93.0;9.0;10.0;10.0;10.0;10.0;10.0;1.0;0.1;1680.0;253.0;1;0;0;
;1.0;1.0;28045.0;40.40633078113511;-3.693788391044869;3;1.0;2.0;2.0;;45.0;290.0;750.0;200.0;30.0;1;0;2;1125;0;0;0;0;8;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.41;1451.0;356.0;1;0;0;
90.0;2.0;2.0;28012.0;40.415822942312175;-3.706298944286503;4;1.0;1.0;2.0;;59.0;;;150.0;25.0;2;20;2;1125;1;1;1;219;15;92.0;9.0;9.0;9.0;9.0;10.0;9.0;1.0;2.15;264.0;146.0;1;0;0;
100.0;2.0;2.0;28004.0;40.42460238291635;-3.692132802131785;3;1.0;1.0;1.0;;130.0;;;;;1;0;2;1125;2;2;2;99;3;100.0;10.0;9.0;10.0;10.0;10.0;10.0;2.0;0.54;1805.0;27.0;1;0;0;
100.0;1.0;1.0;28046.0;40.46902394102073;-3.6898364139819178;2;1.0;1.0;1.0;;30.0;;;;;1;0;1;1125;0;12;28;28;3;100.0;10.0;9.0;10.0;10.0;10.0;10.0;1.0;3.0;438.0;20.0;0;1;0;
100.0;1.0;1.0;28020.0;40.45924799102728;-3.693617624735488;3;1.0;1.0;2.0;;139.0;;;300.0;20.0;2;15;1;1125;23;53;83;358;20;98.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;1.48;478.0;401.0;1;0;0;
100.0;3.0;3.0;28033.0;40.47972458834572;-3.664420436403114;2;1.0;1.0;1.0;;32.0;;;;25.0;1;0;1;29;12;38;68;69;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;3.0;0.71;263.0;0.0;0;1;0;
90.0;1.0;1.0;28045.0;40.38959842986655;-3.6913334466019214;5;2.0;2.0;3.0;;100.0;;;300.0;30.0;1;0;1;1125;1;1;11;282;7;97.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.63;769.0;329.0;1;0;0;
100.0;1.0;1.0;28024.0;40.397123715375024;-3.774863595550971;6;2.0;3.0;4.0;;65.0;;;150.0;;3;15;2;1125;3;13;17;235;41;100.0;10.0;10.0;10.0;10.0;9.0;10.0;1.0;2.38;567.0;497.0;1;0;0;
100.0;4.0;4.0;28005.0;40.41145822733133;-3.713117950955913;3;1.0;1.0;2.0;;49.0;;;;;1;0;1;1125;7;25;45;314;0;;;;;;;;4.0;;262.0;;0;1;0;
100.0;1.0;1.0;28013.0;40.41767096427345;-3.7091059070537593;3;1.0;1.0;1.0;;58.0;;;150.0;15.0;1;15;2;1125;11;27;57;82;93;92.0;9.0;9.0;10.0;10.0;10.0;9.0;1.0;4.0;1450.0;691.0;1;0;0;
;1.0;1.0;28043.0;40.45413871188478;-3.657072466050949;1;1.0;1.0;1.0;;70.0;410.0;1190.0;;;1;0;2;1125;30;60;90;365;0;;;;;;;;1.0;;1333.0;;0;1;0;
100.0;1.0;1.0;28014.0;40.41427717596571;-3.696483430064295;2;1.0;1.0;1.0;;65.0;;;150.0;20.0;1;0;3;1125;11;33;55;173;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1.0;0.33;637.0;126.0;0;1;0;
100.0;8.0;8.0;28004.0;40.42275711362204;-3.699314015811767;9;3.0;3.0;7.0;;146.0;;;;47.0;4;39;2;5555;9;23;34;301;16;99.0;10.0;10.0;10.0;10.0;10.0;10.0;7.0;3.43;761.0;119.0;1;0;0;
100.0;1.0;1.0;28004.0;40.4284390330777;-3.703236010815395;4;1.0;2.0;2.0;;55.0;;;150.0;20.0;2;5;1;1125;6;20;45;135;19;98.0;9.0;10.0;10.0;10.0;10.0;10.0;1.0;4.22;368.0;121.0;1;0;0;
100.0;2.0;2.0;28013.0;40.41834870264027;-3.7010518507495447;6;1.0;2.0;4.0;;120.0;;;400.0;50.0;4;10;1;1125;4;10;18;241;10;96.0;9.0;10.0;9.0;9.0;10.0;10.0;2.0;1.95;1257.0;147.0;1;0;0;
